aahed	6627
aalii	183
aargh	629
aarti	2258
abaca	45018
abaci	20575
aback	569122
abacs	327
abaft	88265
abaka	615
abamp	531
aband	1774
abase	59717
abash	14346
abask	44
abate	556861
abaya	6693
abbas	28362
abbed	366
abbes	14961
abbey	1226638
abbot	1286914
abcee	20
abeam	57854
abear	3992
abele	2011
abers	640
abets	40591
abhor	350837
abide	2045368
abies	48824
abled	26370
abler	157459
ables	28344
ablet	1050
ablow	1261
abmho	227
abode	2270204
abohm	800
aboil	3017
aboma	391
aboon	11342
abord	179949
abore	9217
abort	359280
about	518691745
above	122816193
abram	1299
abray	61
abrim	1828
abrin	8856
abris	4705
absey	154
absit	14103
abuna	3458
abune	6778
abuse	12446732
abuts	88292
abuzz	28647
abyes	44
abysm	15030
abyss	1271875
acais	205
acari	7987
accas	106
accoy	51
acerb	4770
acers	2951
aceta	1176
achar	6249
ached	643936
aches	484160
achoo	1040
acids	9796956
acidy	2896
acing	7963
acini	121509
ackee	6498
acker	6985
acmes	1094
acmic	20
acned	2338
acnes	24668
acock	1505
acold	1490
acorn	286442
acred	10633
acres	10212032
acrid	406537
acros	5500
acted	11070215
actin	747157
acton	12323
actor	6801959
acute	13989056
acyls	505
adage	437320
adapt	3827541
adaws	20
adays	16021
adbot	20
addax	5111
added	51256451
adder	348617
addio	9605
addle	22316
adeem	1619
adept	996081
adhan	5651
adieu	421648
adios	18039
adits	26603
adman	12549
admen	9567
admin	175081
admit	13555676
admix	5116
adobe	563456
adobo	11299
adopt	9432563
adore	810680
adorn	870817
adown	41325
adoze	212
adrad	883
adred	288
adsum	3298
aduki	2275
adult	18953843
adunc	136
adust	9490
advew	20
adyta	2670
adzed	7891
adzes	82362
aecia	7661
aedes	16654
aegis	441381
aeons	125464
aerie	24210
aeros	1111
aesir	780
afald	159
afara	1310
afars	153
afear	542
affix	383929
afire	220198
aflaj	1103
afoot	452780
afore	448118
afoul	156006
afrit	2600
afros	2402
after	313128788
again	147480388
agama	28062
agami	2070
agape	230732
agars	9092
agast	3261
agate	252325
agave	69406
agaze	1614
agene	2457
agent	22819955
agers	183211
agger	33165
aggie	3458
aggri	178
aggro	7466
aggry	827
aghas	8275
agila	590
agile	502392
aging	4148868
agios	2530
agism	2440
agist	2579
agita	9271
aglee	1440
aglet	3810
agley	6801
agloo	20
aglow	186393
aglus	148
agmas	79
agoge	3883
agone	39354
agons	2317
agony	2893283
agood	9833
agora	138867
agree	20325006
agria	3013
agrin	7317
agros	15458
agued	1602
agues	38171
aguna	3137
aguti	1958
ahead	16553014
aheap	1781
ahent	282
ahigh	4767
ahind	1309
ahing	1742
ahint	6855
ahold	45631
ahull	4809
ahuru	348
aidas	626
aided	4124927
aider	73022
aides	1093045
aidoi	62
aidos	9514
aiery	1151
aigas	149
aight	6379
ailed	82051
aimed	8169576
aimer	58393
ainee	2017
ainga	600
aioli	9736
aired	559313
airer	1175
airns	427
airth	9886
airts	2913
aisle	1591720
aitch	6412
aitus	460
aiver	778
aiyee	176
aizle	49
ajies	228
ajiva	4555
ajuga	2400
ajwan	536
akees	286
